345423757_296103744666488832 x	@CenaApproved he's awesome.
345423757_296101242856423426 x	@WWE welcome back y2j
345423757_400246502821724160 x	@KarenFox29 you look FANTASTIC today!!!
345423757_397744333358911488 x	@StuartScott c'mon man (people) do you really think he means "kill him"
345423757_397743097779879937 x	@howardeskin we might actually win!!
345423757_397180605357887488 x	@SportsCenter not as huge as nick FOLES
345423757_397180126112538624 x	@NFoles8 great game Nick
345423757_396819814649704448 x	@MikeMiss975 SIXERS baby
345423757_396818420756660224 x	@BrockLesnarGuy should've picked the SIXERS
345423757_396818121832796160 x	@MikeMiss975 what's your excuse tonight bro
345423757_396817881411112960 x	@BrockLesnarGuy @Sixers @chicagobulls SIXERS baby!! They're all heart
345423757_389213134755729408 x	@BrentCelek I expect a big catch again from you!! Good luck
345423757_387908290556203009 x	@KeeleyFox29 @FOX29philly and I'm shocked!!! NOT
345423757_387564490054963200 x	Telekinetic Coffee Shop Surprise http://t.co/55ysKN3avU
345423757_387553235906871296 x	@CutonDime25 @Eagles good luck this weekend dude!! Your the best in the nfl
345423757_387552684263620608 x	Bring back the nurses, the kids need them.  #fox29
345423757_387552217194332161 x	@MikeFOX29 unfortunately it might take something more drastic then burns on a child's face to get nurses back in the schools. It's a shame.
345423757_387412900882968576 x	Awesome!!! #RAW
345423757_387388638067458048 x	Bob Backlund is going to have a heart attack! #RAW
345423757_387377980655542272 x	RT @WWERetweeting: If you're happy to see Booker T, RT this! #WWERetweeting #WWE #RAW
345423757_387375394099585025 x	#RAW great show so far
345423757_377476336836952064 x	@975TheFanatic odd
345423757_368737180404809729 x	@stephenasmith enjoy!!
345423757_368518742340153345 x	@jimrome : nope
345423757_365477076779810819 x	RT @BobbyHenon: Have you applied for Homestead? Philly homeowners have until 9/13 to save $ on property taxes! http://t.co/Grl42K98yx
345423757_364383818796376066 x	#lookatmefox29 @MikeFOX29 http://t.co/ArdNOLdVqG
345423757_364379652921364480 x	#lookatmefox29: @FOX29philly @JennFredFOX29 http://t.co/vsEXa85OiU
