532839886_394354530525388800 x	Now This Is Relaxing
532839886_394352734511857664 x	100 Proof So She Feel It
532839886_395307931706863616 x	Proof On ASAP Rocky http://t.co/nHEud4BnLV
532839886_395285404590829568 x	Maybe We Can Go Fishing, She Likes That Now That's Different!
532839886_393250712270151680 x	Thirsty Girls Get Love Too
532839886_396113028946882560 x	@Rogerwhutwhut When Is It
532839886_396478453421449216 x	2-0  #Wolves
532839886_396483411239776256 x	@TheGameOnGuru Yessir
532839886_396479852913913856 x	Gangster Squad
532839886_396478742253797376 x	@ParkerStinski I Hope!
532839886_396172861091897344 x	RT @rmjarry: ?@nova100: Ever seen a 6'8" Olympian basketballer twerk? No? Well thanks to @ecambage you have now.  http://t.co/vTIPkLqCbw? d?
532839886_396172835598909440 x	You Think It's Your Time But It Could Be Up!
532839886_396122144067055617 x	They Gettin Pushy N LA
532839886_396121923341807616 x	@rome081 Check Your DM Bruh
532839886_396119777628147712 x	RT @SBNationNBA: Uh oh, Stephen Curry is heating up.
532839886_396112361624711168 x	Did The Kanye Concert Get Postponed ?
532839886_396116974578982913 x	@ashweeray Till When
532839886_396117236974649344 x	@ashweeray How Come
532839886_396117984542228480 x	@ashweeray Smh
532839886_396118198523031552 x	@ashweeray Me Too
532839886_396114840391282688 x	Need Somebody 2 Go 2 The OKC Game With Me Tmrw.. HMU
532839886_396115737737441280 x	@bboese_21 I Only got 2
532839886_396115456349986816 x	@KONE300 Right
532839886_396113363174166528 x	@Rogerwhutwhut They Don't Know When It'll Be ?
532839886_396108909997748224 x	Curry For 3
532839886_396101383499563008 x	Need Somebody 2 Go 2 The OKC Game With Me Tmrw..
532839886_396099419999059968 x	Some Girls Should Wear Costumes Everyday.. You Look Better
532839886_396098249805017088 x	Beauty Doesn't Make Up For Ignorance
532839886_396019038419435521 x	Well Behaved Women Rarely Make History
532839886_396000895487713280 x	If She Likes My Photos I Assume She Wants Me ??
532839886_395984331589812224 x	Happy Halloween
532839886_395769402211450880 x	S/O To The @RedSox
