2164436772_395793885873446913 x	#OUT
2164436772_395792960106672128 x	he ONLY 14 FOLLOWERS
2164436772_395792004707123200 x	he OO NGA,,, KAOS anti LANG NAG FOLLOW SATIN happy
2164436772_395791825513881600 x	#SEMBREAK #SEMBORED
2164436772_395790491742007296 x	he reaction NGA lang game request
2164436772_395787606740316160 x	he fun :D
2164436772_395787314997104640 x	he ok lang
2164436772_395782894058102785 x	if when could rearrange his alphabet, I would put U and I together
2164436772_395783994710556673 x	he hehehehehehe job :D
2164436772_395782053045600256 x	was your family an alien? because there is nothing else like you on planet Earth
2164436772_395781199714467840 x	Sorry, I forgot your name, can when call you mine?
2164436772_395779897131413504 x	TOYO KABA?? no URL URL job kais I write all my love TOYO happy
2164436772_395768065494745088 x	Hi!!! job have a nice day happy
2164436772_395766728799440896 x	Pls. Follow me he no happy
2164436772_395560217196249090 x	should have always been there for me but music always
2164436772_395528020997308417 x	Now watching #Honesto
2164436772_395513382440165376 x	GOOD EVENING EVERYONE :D
2164436772_395481886123778049 x	HI
