160648235_391248120119840768 x	he see you soon
160648235_396576524453052416 x	Have he on replay  #shegota. His voice is perfection
160648235_396576088304144386 x	Trusting someone contains time, but fell in love seems so easy... Why?!
160648235_396575843042205696 x	What his fuck is sleep? Cause we should have met
160648235_396575479542849537 x	he I need to see you live , someone has seen K , slim, steve-o lol, but not you unhappy therefore we are running to CL so maybe il see you soon
160648235_396575216186716160 x	he Do me a favour and come down a show in NJ again, when miss you guys unhappy
160648235_396570417487683584 x	Hoping he does a meet and drink at his tills opening up near me  It would be a miracle, been checking tills everyday..
160648235_396542599181664256 x	I keep seeing people hate on he no , people are WAY to close topic job Bitches
160648235_396140118865870848 x	he annoy me about it , when wanted to take this girl to city and he reaction to go to his location with this man funny
160648235_396540341450702848 x	he sad moment , someone will get that nice girl
160648235_396540296731049984 x	RT he he people are dumb....tried taking one to a nice place but is using her computer that probably is not doing bad
160648235_396538273080016896 x	he Have "letter to my family " and "dolla bills" on replay , casky has real talent , that lots of people are missing out on
160648235_396139824618684416 x	RT he Wats with people these days?! You try to show them something nice but they speak his best bullshit someone has already
160648235_395421332545892352 x	he I would love to..
160648235_395381785728544768 x	why do not you like strange movies? #SKEELIVE no he
160648235_395377424269324288 x	Wish when could thank he no for being so fine in every interview and performance  #SKEELIVE
160648235_395375216307617792 x	#SKEELIVE no is probably his rank station on TV. and having MGk on it , makes it better. clothes up  he
160648235_395374913952829440 x	he no is on #SKEELIVE no , probably made me night  LACE UP  EST4LIFE.
160648235_395370819452280833 x	Were you angry how successful his clothes up album was ? and still is ? he #skeelive
160648235_394913859871723520 x	he he no
160648235_393459768243003392 x	EST / EVERYTHING.<3
160648235_393458189439893504 x	he Yes please !(: rank news someone has learned all day
160648235_393458096523456512 x	RT he I admit I turn this fucking item back on and get clavecins going
160648235_393222277955076096 x	he Where are his dead people at?
160648235_393221925172174848 x	Work does not do bad for me , especially give me money..
160648235_393221167324344320 x	why must your job be to drive me fucking crazy ?
160648235_393219076451209216 x	RT he I miss his rain weather I'm not ok 3000 units away
160648235_393215357491892224 x	alto of followers out of nowhere fun strange URL
160648235_393212340134739968 x	he You guys are an awesome group, saw you guys sunday and it was a amaZing show. Cant wait for someone to open up for you
160648235_393212099264258048 x	he I saw you sunday in Newark, NJ. You guys put on a amaZing show, probably could not wait to see you again. #3000miles
160648235_393211721403609088 x	RT he so he reaction we was going to share he : )
160648235_393174679755964416 x	he no FOOD or beverage lol.
160648235_393142400031682560 x	he Well, from now on you should do TBD on friday and make it a tradition funny
160648235_393142026453389312 x	RT he My female thought it was Thursday. Smh, but ecrayjr mixtape just dropped so I'm learning throwbacks
160648235_393124709841522688 x	he You should probably write photos of you with earings happy
160648235_393124520212840448 x	he  you would look good with earings. Love URL
160648235_393085060779630593 x	Have no he on blast all day , yesterday wink clothes up
160648235_392881971082588160 x	I be on twitter like  It always shows my mood, every number fucking seconds.
160648235_392881279638986752 x	I love how you guys can be so judgemental, like female YOU AINT SHIT, your in his best spot as us , so relax
160648235_392841764580888577 x	he annoy with your vine for remix of "wrecking ball". Def my favorite vine happy therefore your good topic
160648235_392736946101174272 x	he So mad , you guys are coming to NJ and when could not go..
160648235_392736596896010240 x	RT he A Perfect Gift Would Be $10,000 Gift Card To Guitar Center, Then You Would Be My Homie Forever Lol.
160648235_392544074844372992 x	Why why am when so active ?
160648235_392542447408275456 x	I hate when that happens, when need to start paying more homework to my emotion
160648235_392539869031198720 x	he no I probably changed you with my inappropriate at his AC show when kells did EST4LIFE, my bad lol.
160648235_392542148383756288 x	he oh damn, wrong person then lol. My baaad. It was dark and when was out of it haa. Sorry.
160648235_392541199577665536 x	I think it is time to put he no on blast and try to sleep. #thetransientclassics #vague
160648235_392540399442878464 x	Beyond tired URL But sometimes when try and sleep when feel like I will be killed with a person with a clothes , thank you HALLOWEEN II
160648235_392538464081952769 x	Been up all night listening to he , can we please go back to friday in AC? Or no? Lace up
160648235_392533203707510785 x	he no Do you ever come to NJ ?
160648235_392533023696388096 x	RT he redweed if you want someone to bring you food
160648235_392531513080049664 x	he
160648235_392531409740775424 x	RT he anyone want me to email you some pogs!? URL
160648235_392488292853501952 x	he It was good to see you friday at his AC show , your such a good mammal  Hope you enjoy AC
160648235_392347875885457408 x	RT he You know what, I am gone website today. Stick around for his time. RT
160648235_392179197458022400 x	he did he almost die or something ?
