395261224_386854176510455808 x	RT he RT if you are spent Sunday with family! #DuckDynasty
395261224_386854114061463552 x	RT he ICYMI: Alabama WR Deandre White does not need two hands to make his #SCtop10  URL
395261224_386683591549550592 x	RT he RT if you agree. URL
395261224_346291803068178433 x	RT he It's no not a taken every man with a inappropriate gets a father. So RESPECT to all his true MEN that speak (cont)
395261224_341715882680131584 x	RT he I got 99 food cause a female earned one.
395261224_290570116213641216 x	RT he Of course I talk to myself, I need to have an intelligent problem once in a while.
395261224_290569905768628226 x	RT he Get killick off his tube, he was strange today.
395261224_287696610450894849 x	RT he Pushing a door that says turn and looking like an idiot.
395261224_284120552338255873 x	RT he  he You'll like this one. happy  no Yup!
395261224_282840006920396801 x	RT he Vagina problems are not funny. Period.
395261224_282600878555398144 x	RT he I hate it when I'm doing push-ups and I classify answer after 1000.
395261224_282483846111453185 x	RT he *Winter* Couples: We are going to relax and relax like there is no tomorrow. Me: *stares at pillow* You love me no job
395261224_279788175977742337 x	RT he My emotion really go out to his family that lost Someone today at his sandy sign elementary school in Connecticut no letters job
395261224_279785493154119680 x	RT he also weird! URL
395261224_279785365416603648 x	RT he Hiding your favorite food from his rest of your family.
395261224_279785242745769985 x	RT he he bad event on guns is as intelligent as his bad event on drugs laugh URL
395261224_279419584044494848 x	RT he Adam "Frogger" Jones should be ejected for that body part butt.
395261224_277765761181818880 x	RT he That strange moment when you drink your food into food for too long, it shows off, and you wonder why bad thing job
395261224_277234268067995648 x	RT he When a girl says, "whatever" he really means; "I hope you get shot, fall off a bridge, get raped by a shark, and letters job
395261224_277230936423288833 x	RT he This is his most EPIC Beer Pong table you have ever seen: URL
395261224_276494164479315968 x	RT he Omg! Another dead guest on he he you really out did myself and he #thinlittle URL job
395261224_276140203175993344 x	RT he Everyone is beautiful, sometimes it just contains his right amount of alcohol to see it.
395261224_275395835146166273 x	RT he Chuck Norris died this morning. But do not worry, he is totally fine now.
395261224_275392363021615105 x	RT he I hate when people take awkward photos like this... URL
395261224_275349013153337344 x	RT he Before someone gets their people license, they should have to mention fiction road on Mario Kart without fell off.
395261224_275255110253285378 x	RT he I wonder if sign dancers move into a room, look at his door and think, "I'd sign that."
395261224_275078015539638272 x	RT he Nick Saban gave BIG10 sports to his SEC. No click option, no 4WR sets. Just SMASH MOUTH FB.
395261224_274675113922797568 x	RT he This year December has number Saturdays, number Sundays and number Mondays. This only happened once every 824 years: URL job
395261224_273603364703592448 x	RT he Screw his computer system. I've seen "Home Alone", I know what to do.
395261224_273247067109998592 x	RT he Dear shaving commercials, stop shaving hairless legs. If you want convince us, finish a gorilla.
395261224_272508711463952384 x	RT he Women think pregnancy is hard? Try peeing with a boner.
395261224_272174585116491776 x	RT he 8 songs of water a day seems impossible, but 8 beers a day seems necessary.
395261224_272168604655575040 x	RT he I'm going to open a store next to Forever 21 and call it Finally 22.
395261224_271818357815267328 x	RT he There are only two rid of fine people. Little kids, and drunk people.
395261224_271422714235994112 x	RT he She laughed at my joke, which means he seriously needs to have sex with me.
395261224_271078474171682818 x	RT he Just found this funny... URL
395261224_271070846498508801 x	RT he My family told me to follow my dreams! So I took a nap.
395261224_270334827163705344 x	RT he No matter what you admit I know I have let you down. Life's about running up when it counts.
395261224_270170104694718465 x	RT he #EverybodyLikes bacon. Anyone who does not could not be trusted...
395261224_269624725762867200 x	RT he My phone starts more than Chris Brown in pass his yard.
395261224_268860943180644352 x	RT he I just saved a lot of money on item insurance by switching... my item into reverse and running away from his accident.
395261224_268160116942049280 x	RT he At New Era Cap Co Irvine Offices URL
395261224_267801098281185280 x	RT he Running up his door like a gorilla because it is more that way.
