981311636_398671041780019200 x	SNR Twitter Report is out! URL
981311636_398570961491881984 x	RT he Dumbass of his Day URL
981311636_399972386826907648 x	he may have earned a inappropriate on stage last night. Who cares? When he starts smoking inappropriate on stage wake us up! URL
981311636_399966097358995456 x	In that Beatles song, when they admit "All you need is love," do they really mean "All you need is pussy."? Because if so, we totally agree!
981311636_399961955345379329 x	RT he he URL
981311636_399960052087676928 x	Girls reply to family telling them  at a  party when instead they had other plans. #BitchGotTold URL
981311636_399953529764601856 x	Are you seriously not going to video it? RT he Is this person seriously fingering this girl on his road unhappy #gonnapuke
981311636_399953115778002946 x	Please caption this picture for us. Thanks. URL
981311636_399947185393238018 x	Happy Veteran's Day!!! To help you all celebrate, here is a fine unit of country ass! URL
981311636_399941223278215168 x	There goes my $20 down his drain... RT he Paternity test is in... I am NOT his family of my family baby!!!! #SuckOnThatMurray
981311636_399935851880140800 x	RT he he when hope you have a painful and slow bad event you fucking assoil
981311636_399934625210171392 x	Depends on who is getting raped... RT he he kiss is not funny
981311636_399928379912495104 x	Facebook News Feed History of his World: World War I to World War II... This is awesome on so many levels! URL
981311636_399922698983571456 x	In case you were wondering! RT he Hymen is a membrane of tissue that makes or totally shows his external vaginal opening.
981311636_399916180921913344 x	Are you jerking off to it now? RT he Just had to sit through a full unit of listening to skanks talk about there sex its
981311636_399908654973210624 x	There's this video realizing #Obamacare simply. Since most of you are fucking retards, though someone will be good to share! URL
981311636_399908429520596992 x	RT he That tweet from he had me laughing hard.. so unexpected like where did you come from laugh
981311636_399897246566985728 x	Us too motherfuckers!!!!!!!!!!!!! RT he I be feeling his wake and bake..
981311636_399758192059887616 x	SNR Twitter Report is out! URL
981311636_399395815460184064 x	SNR Twitter Report is out! URL
981311636_399033423123464193 x	SNR Twitter Report is out! URL
981311636_398893966055460864 x	he We have he back on this one. You people need to learn to obey #BackHand #CockSlap #KnowYourRole
981311636_398889418360381441 x	#ComedyGold RT he The real Big Poppa Pump was Scott Steiner. #SteinerRecliner RT he I love Big Papa Pump on CNN.
981311636_397923822751711232 x	That's his kind of bitch!!! RT he he your smoking weed and talking about sex with guys you have some problems
981311636_398881166226653184 x	he What location or octagon? Are you coming on to us? #BigBlackDickInOurWhiteAssholes
981311636_398826037477257217 x	#FF Some of his rank friends: he he he he he he no he
981311636_398452075689824256 x	RT he DMZ exclusive... URL
981311636_398438949393154048 x	RT he he I have not affected anyone on this account in a while. I was wondering who took that Twitter share though.
981311636_398408759824756736 x	Why are we following an account called he Is this your doing he #ChicksWithDicks
981311636_398308650995163136 x	SNR Twitter Report is out! URL
981311636_398249797037346816 x	Go check us out on Facebook... We have pics, bios, news, etc... Worth his Like! URL
981311636_398242432749690880 x	What's it about??? Rating??? RT he Giving this show on friday a try called Masters of Sex. It's pretty informative so far!
981311636_398234665326510080 x	Song has been staying in his lives all day, so congrats.. It will now be staying in yours! Eiffel 65 - I'm Blue... Enjoy! URL
981311636_398228362361327617 x	Fat guys... RT he At Arby's, order design jr roast beefs instead of 1 letters roast beef. This is a more way to get even more food.
981311636_398222238278627328 x	RT he he They wanted a really 'scary' costume. Done. But Israelis usually share it and no one says 1 word.
981311636_398221446365081601 x	Outrage Over Burning Twin Towers Halloween Costume Worn by Teens in his UK.. Stupid British Sluts! URL What do you think?
981311636_398185960313475072 x	Us fatties know what we are doing! RT he Who would have ever thought Andy Reid could look at John Fox and Gary Kubiak and seem healthy?
981311636_398179361347887105 x	So he has usually screwed person he he he he and he He's a #player
