315562841_397057319915495424 x	#TeamTypeShit  URL
315562841_399696908379508736 x	RT he Before I Snitch , They Gon Have To  Hole In My Tongue  #rns
315562841_399695421360312320 x	Still should have been in yeggman's yet ....
315562841_399696489108500481 x	he
315562841_399658542908465153 x	URL
315562841_399654401440501761 x	#senioritis
315562841_399653238615859201 x	Let's go eagles
315562841_399639952868536321 x	Miranda Cosgrove  #DreamGirl URL
315562841_399633309615284224 x	RT he Trying to learn your times and jobs to a non-runner is like speaking a different language #trackprobs #TrackNation
315562841_399606956929077248 x	There's a prostitute in my location .... #gta5 #gtaV #GTAOnline #gtagarage URL
315562841_399403213641621504 x	My new personal plate cover <333333 URL
315562841_399602134259609600 x	he hahahahaahah I will change it , I just think anything on it would be bad , I'm trying to just put "sorry" cause I mention music laugh
315562841_399603337869680640 x	he or "Joelle is his bad !" That would be perfect
315562841_399604242392305666 x	he he I'll do both
315562841_399604198863802368 x	he I'm really bored as bad laugh I might just do it just for his hell of it
315562841_399604084095082496 x	RT he he I think that one is his best, put that on
315562841_399604053157896192 x	RT he he he usually I think "alissa is his shit" is better
315562841_399602154715222016 x	he blast***
315562841_399593749824962560 x	RT he he I like my idea better
315562841_399427955782606848 x	Agon - No matter >>
315562841_399375317057683456 x	RT he #IfWeDate  URL
315562841_399247174556721153 x	Any Ideas ?  URL
315562841_399256879484112896 x	he  perfect
315562841_399256836056309760 x	RT he he licensed to convince
315562841_399211774291238912 x	We really trying to be back on Air Force ones no , who with me ?
315562841_399212035546021889 x	he we on it   I'm like being dead ass funny
315562841_399211357083799552 x	he giving my family why up
315562841_399022339050201089 x	Can't wait until I get subs in my item
315562841_399020572484833280 x	Let me find out
315562841_399019527637573632 x	squad URL
315562841_398998517311893504 x	RT he Trust is nothing to play around with..
315562841_398995613913989120 x	RT he Every party I go to get busted!  cops some assoils
315562841_398995282899533824 x	Shit got changed again fun
315562841_398966862849269760 x	All they play is country and heart broken music at my job ! Turn that bad why off !
315562841_398993390643470336 x	he that is a reply ....
315562841_398965280254459905 x	he you really going up there ? I'm trying to rock with you , I'll let you know I will hit up Neff and them
315562841_398966518777933824 x	he yes I'm not trying to go up there tonight , laugh that is too much
