1442663743_391175704781402112 x	he he That's AWESOME!
1442663743_379760818214035456 x	he he This is Awesome!
1442663743_399565646473998336 x	"@AFC_Brianna: Military Appreciation game! #SEAvsATL #falconscheer #nflcheerleaders hashtag #riseup http://t.co/COZvQu9gx6"#awesome
1442663743_398126538207817728 x	he stay away from mice and men!
1442663743_397683413609893888 x	RT he "@bid4golf:  No staying  RT words to live by! #nicepardavid"// #12
1442663743_396443033669222400 x	RT he Beer is a food group.
1442663743_395133960508166145 x	he good morning..have a great flight!
1442663743_394616993137324032 x	RT he Wow how about that National Anthem from Rascal Flats just awesome #letsgocardinals
1442663743_393410698296188928 x	RT he #LoudmouthNation is excited to have he back! URL URL
1442663743_391175788391051264 x	RT he Dear liver, it is Friday. Sorry, age buddy.
1442663743_391147697610440704 x	RT he Insomnia sharpens your math skills. You write all night calculating how much sleep someone will get if you "fall asleep right now".
1442663743_390171073230430208 x	RT he Our (slightly) appeal holiday pants are now available - HO!,HO!,HO! URL URL
1442663743_390152379825655808 x	RT he If people are so angry at inappropriate loving a triple or clutch calls then get him out. I'm tired of seeing about
1442663743_390151999742025728 x	RT he "@TotalGolfMove_: Wearing a clothes while giving is about as super acceptable as taking crocs."// coin pass
1442663743_390130705722007552 x	Perfect day for 36! But #stuckatwork
1442663743_390123940804591616 x	he Thank you..Mam happy
1442663743_387338059819122688 x	he he Almost as awkward as saying "Good to see you" at a viewing/funeral! Ah Geesh..
1442663743_387334224858337281 x	RT he Rush's Gedda Lee means his bad haircuts and crazy stage secrets behind some of his band's most famous videos:
1442663743_387160165319196672 x	RT he Best weekend  he he he he he he
1442663743_386340536757415936 x	RT he he it is an application that contains all my social media photos and you can download your favorite ride!
1442663743_385921626539581440 x	RT he You're not stupid...you just have really bad luck when you think.
1442663743_385805472512872449 x	RT he Happy Birthday, United States #PresCup captain Fred Couples! #BoomBoom Career Photos: URL
1442663743_385712634257235968 x	Catching up on your VR finally? he
1442663743_385358834518458368 x	he take it easy!
1442663743_385202741837983745 x	RT he Intrepid 475 Center Console:Quad Yamaha F350 ...52 knots tv ~60 mph) #Boat #fishing URL
1442663743_385142059986067456 x	RT he I just thought of a new social network for
1442663743_384857681410146304 x	RT he Common sense has become so rare it should be online as a superpower.
1442663743_384813510326489088 x	Cranking his Over swing! NICE he he he he
1442663743_384723550059659264 x	"@1taylorcollins: New Kings of Leon cd is pure. It's making this loss home tolerable"@FedeleJulie
1442663743_384028119709261824 x	he not cool McK, My family re 6 sometimes he does...I pass out of his item when he is running and happened to sneeze! Hah..
1442663743_383728175941173248 x	he Dover is FAST this weekend Jo! You should be here!!
1442663743_383727646200565760 x	RT he This should make a lot of people happy...Dale Jr. is on his pole! #AAA400
1442663743_383678166591889408 x	Kurt Busch 181mph into turn one at Dover! WHATTTT!!!! DAMN
1442663743_383270460823465984 x	RT he RT if someone will be living into his #BigBangTheory premiere 2NITE at 8/7c! Pass his time with cast review letters his ep!
1442663743_382842700892225536 x	"@WhatTheFFacts: 1 in 28 children in his United States have a mammal in state or country prison." WTF
1442663743_382454915538649088 x	RT he Post-tour Q&A with Gedda Lee: URL
1442663743_382454790875529217 x	RT he Best part of playing flip-cup, watching Kate Upton share his win! URL
1442663743_382114535802695680 x	he I want you back already! And why could not Deb drive off in his road also?? Ugh..
